night,target,session,file,mjd_obs,x,y,snr,detected
2026-08-20,TRES-5,session_01,TRES-5260820101215.fits,61272.425,349.26,193.25,2.5,no
2026-08-20,TRES-5,session_01,TRES-5260820101515.fits,61272.427,348.47,187.79,3.4,no
2026-08-20,TRES-5,session_01,TRES-5260820101816.fits,61272.429,348.79,185.18,3.4,no
2026-08-20,TRES-5,session_01,TRES-5260820102115.fits,61272.431,347.86,191.88,4.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820102415.fits,61272.434,355.29,191.58,2.9,no
2026-08-20,TRES-5,session_01,TRES-5260820102715.fits,61272.436,352.42,192.16,2.5,no
2026-08-20,TRES-5,session_01,TRES-5260820103015.fits,61272.438,353.38,183.68,6.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820103315.fits,61272.44,354.7,192.59,7.6,yes
2026-08-20,TRES-5,session_01,TRES-5260820103616.fits,61272.442,359.95,195.93,3.6,no
2026-08-20,TRES-5,session_01,TRES-5260820103915.fits,61272.444,363.98,194.16,2.5,no
2026-08-20,TRES-5,session_01,TRES-5260820104215.fits,61272.446,357.11,194.25,9.9,yes
2026-08-20,TRES-5,session_01,TRES-5260820104516.fits,61272.448,359.16,191.63,12.8,yes
2026-08-20,TRES-5,session_01,TRES-5260820104815.fits,61272.45,360.7,186.64,11.2,yes
2026-08-20,TRES-5,session_01,TRES-5260820105115.fits,61272.452,361.9,191.8,2.2,no
2026-08-20,TRES-5,session_01,TRES-5260820105415.fits,61272.454,365.95,193.9,2.9,no
2026-08-20,TRES-5,session_01,TRES-5260820105715.fits,61272.456,366.99,193.55,2.7,no
2026-08-20,TRES-5,session_01,TRES-5260820110016.fits,61272.459,370.94,200.16,2.2,no
2026-08-20,TRES-5,session_01,TRES-5260820110315.fits,61272.461,375.3,199.86,4.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820110615.fits,61272.463,375.97,194.43,4.7,yes
2026-08-20,TRES-5,session_01,TRES-5260820110916.fits,61272.465,370.31,192.41,5.6,yes
2026-08-20,TRES-5,session_01,TRES-5260820111216.fits,61272.467,378.21,199.35,4.5,yes
2026-08-20,TRES-5,session_01,TRES-5260820111516.fits,61272.469,381.56,201.24,4.9,yes
2026-08-20,TRES-5,session_01,TRES-5260820111815.fits,61272.471,376.34,196.68,13.7,yes
2026-08-20,TRES-5,session_01,TRES-5260820112115.fits,61272.473,376.15,201.25,13.9,yes
2026-08-20,TRES-5,session_01,TRES-5260820112416.fits,61272.475,376.25,200.21,13.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820112716.fits,61272.477,383.6,203.83,3.1,no
2026-08-20,TRES-5,session_01,TRES-5260820113015.fits,61272.479,379.04,200.78,22.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820113316.fits,61272.481,383.86,200.31,4.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820113615.fits,61272.484,387.8,205.66,5.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820113915.fits,61272.486,388.13,205.25,5.6,yes
2026-08-20,TRES-5,session_01,TRES-5260820114216.fits,61272.488,390.23,204.25,5.6,yes
2026-08-20,TRES-5,session_01,TRES-5260820114515.fits,61272.49,391.46,208.19,7.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820114817.fits,61272.492,391.31,204.07,4.3,yes
2026-08-20,TRES-5,session_01,TRES-5260820115115.fits,61272.494,392.94,204.07,3.0,no
2026-08-20,TRES-5,session_01,TRES-5260820115415.fits,61272.496,387.21,206.72,9.4,yes
2026-08-20,TRES-5,session_01,TRES-5260820115716.fits,61272.498,393.97,207.61,3.2,no
2026-08-20,TRES-5,session_01,TRES-5260820120508.fits,61272.504,384.62,281.02,8.0,yes
2026-08-20,TRES-5,session_01,TRES-5260820121301.fits,61272.509,393.75,293.19,4.7,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821043741.fits,61273.193,267.04,281.56,1.5,no
2026-08-21,Qatar-1,session_01,Qatar-1260821043927.fits,61273.194,263.48,218.89,51.7,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821044219.fits,61273.196,262.47,225.32,4.9,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821044515.fits,61273.198,260.55,218.71,23.3,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821044816.fits,61273.2,262.65,225.19,19.8,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821045116.fits,61273.202,260.04,226.16,6.9,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821045415.fits,61273.204,254.58,221.72,45.2,no
2026-08-21,Qatar-1,session_01,Qatar-1260821045715.fits,61273.206,256.4,213.74,17.7,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821050015.fits,61273.209,258.39,211.68,46.0,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821050315.fits,61273.211,257.6,218.95,24.1,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821050615.fits,61273.213,259.96,218.13,54.4,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821050915.fits,61273.215,255.85,225.06,19.6,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821051216.fits,61273.217,254.51,225.39,6.1,yes
